problem_id,contest,difficulty,name,dataset,time_limit,memory_limit,rating,tags,complexity,score
p04043,AtCoder Beginner Contest 042,A,AtCoder Beginner Contest 042 - Iroha and Haiku (ABC Edition),AtCoder,2000,262144,,,,100
p04044,AtCoder Beginner Contest 042,B,AtCoder Beginner Contest 042 - Iroha Loves Strings (ABC Edition),AtCoder,2000,262144,,,,200
p04045,AtCoder Beginner Contest 042,C,AtCoder Beginner Contest 042 - Iroha's Obsession,AtCoder,2000,262144,,,,300
p04046,AtCoder Beginner Contest 042,D,AtCoder Beginner Contest 042 - Iroha and a Grid,AtCoder,2000,262144,,,,400
p04029,AtCoder Beginner Contest 043,A,AtCoder Beginner Contest 043 - Children and Candies (ABC Edit),AtCoder,2000,262144,,,,100
p04030,AtCoder Beginner Contest 043,B,AtCoder Beginner Contest 043 - Unhappy Hacking (ABC Edit),AtCoder,2000,262144,,,,200
p04031,AtCoder Beginner Contest 043,C,AtCoder Beginner Contest 043 - Be Together,AtCoder,2000,262144,,,,200
p04032,AtCoder Beginner Contest 043,D,AtCoder Beginner Contest 043 - Unbalanced,AtCoder,2000,262144,,,,400
p04011,AtCoder Beginner Contest 044,A,AtCoder Beginner Contest 044 - Tak and Hotels (ABC Edit),AtCoder,2000,262144,,,,100
p04012,AtCoder Beginner Contest 044,B,AtCoder Beginner Contest 044 - Beautiful Strings,AtCoder,2000,262144,,,,200
p04013,AtCoder Beginner Contest 044,C,AtCoder Beginner Contest 044 - Tak and Cards,AtCoder,2000,262144,,,,300
p04014,AtCoder Beginner Contest 044,D,AtCoder Beginner Contest 044 - Digit Sum,AtCoder,2000,262144,,,,500
p03997,AtCoder Beginner Contest 045,A,AtCoder Beginner Contest 045 - Trapezoids,AtCoder,2000,262144,,,,100
p03998,AtCoder Beginner Contest 045,B,AtCoder Beginner Contest 045 - Card Game for Three (ABC Edit),AtCoder,2000,262144,,,,200
p03999,AtCoder Beginner Contest 045,C,AtCoder Beginner Contest 045 - Many Formulas,AtCoder,2000,262144,,,,300
p04000,AtCoder Beginner Contest 045,D,AtCoder Beginner Contest 045 - Snuke's Coloring,AtCoder,3000,262144,,,,400
p03962,AtCoder Beginner Contest 046,A,AtCoder Beginner Contest 046 - AtCoDeer and Paint Cans,AtCoder,2000,262144,,,,100
p03963,AtCoder Beginner Contest 046,B,AtCoder Beginner Contest 046 - Painting Balls with AtCoDeer,AtCoder,2000,262144,,,,200
p03964,AtCoder Beginner Contest 046,C,AtCoder Beginner Contest 046 - AtCoDeer and Election Report,AtCoder,2000,262144,,,,300
p03965,AtCoder Beginner Contest 046,D,AtCoder Beginner Contest 046 - AtCoDeer and Rock-Paper,AtCoder,2000,262144,,,,300
p03943,AtCoder Beginner Contest 047,A,AtCoder Beginner Contest 047 - Fighting over Candies,AtCoder,2000,262144,,,,100
p03944,AtCoder Beginner Contest 047,B,AtCoder Beginner Contest 047 - Snuke's Coloring 2 (ABC Edit),AtCoder,2000,262144,,,,200
p03945,AtCoder Beginner Contest 047,C,AtCoder Beginner Contest 047 - 1D Reversi,AtCoder,2000,262144,,,,300
p03946,AtCoder Beginner Contest 047,D,AtCoder Beginner Contest 047 - An Invisible Hand,AtCoder,2000,262144,,,,400
p03860,AtCoder Beginner Contest 048,A,AtCoder Beginner Contest 048 - AtCoder *** Contest,AtCoder,2000,262144,,,,100
p03861,AtCoder Beginner Contest 048,B,AtCoder Beginner Contest 048 - Between a and b ...,AtCoder,2000,262144,,,,200
