difficulty,first_error,proficiency_group,avg_attempts_to_ac,n_pairs_resolved,n_pairs_total,resolution_rate
A,CE,G1,3.8,3898,4647,83.9
A,CE,G2,3.47,6886,7890,87.3
A,CE,G3,3.09,10472,11401,91.9
A,CE,G4,2.8,15015,15760,95.3
A,CE,G5,2.61,11799,12109,97.4
A,CE,G6,2.48,14445,14725,98.1
A,Other,G1,3.0,1,2,50.0
A,Other,G2,4.67,3,4,75.0
A,Other,G3,3.75,12,12,100.0
A,Other,G4,2.87,15,16,93.8
A,Other,G5,2.89,9,10,90.0
A,Other,G6,2.69,13,14,92.9
A,RE,G1,3.75,1497,1932,77.5
A,RE,G2,3.31,3767,4743,79.4
A,RE,G3,3.01,7254,8836,82.1
A,RE,G4,2.73,9101,10722,84.9
A,RE,G5,2.55,6971,7827,89.1
A,RE,G6,2.5,6254,6795,92.0
A,TLE,G1,3.38,21,27,77.8
A,TLE,G2,3.45,88,119,73.9
A,TLE,G3,3.02,190,228,83.3
A,TLE,G4,2.75,208,256,81.2
A,TLE,G5,2.52,119,149,79.9
A,TLE,G6,2.55,124,151,82.1
A,WA,G1,3.21,5505,6963,79.1
A,WA,G2,2.94,13421,15959,84.1
A,WA,G3,2.75,26166,29151,89.8
A,WA,G4,2.54,36699,39237,93.5
A,WA,G5,2.41,28315,29546,95.8
A,WA,G6,2.32,27950,29038,96.3
B,CE,G2,4.3,3088,4030,76.6
B,CE,G3,3.98,5647,6937,81.4
B,CE,G4,3.52,9130,10096,90.4
B,CE,G5,3.33,7394,7751,95.4
B,CE,G6,2.98,9540,9760,97.7
B,Other,G2,7.0,5,7,71.4
B,Other,G3,2.75,28,31,90.3
B,Other,G4,2.61,38,43,88.4
B,Other,G5,2.5,24,24,100.0
B,Other,G6,2.6,30,31,96.8
B,RE,G2,3.82,2639,3549,74.4
B,RE,G3,3.56,6998,8735,80.1
B,RE,G4,3.29,10779,12041,89.5
B,RE,G5,3.09,8615,9060,95.1
B,RE,G6,2.85,7248,7426,97.6
B,TLE,G2,3.45,535,812,65.9
B,TLE,G3,3.5,2289,3025,75.7
B,TLE,G4,3.33,4093,4630,88.4
B,TLE,G5,3.16,3214,3391,94.8
B,TLE,G6,2.93,2200,2251,97.7
B,WA,G2,3.29,9885,13441,73.5
B,WA,G3,3.2,31998,39503,81.0
B,WA,G4,3.05,59720,66262,90.1
B,WA,G5,2.9,52474,55355,94.8
B,WA,G6,2.7,52424,53815,97.4
C,CE,G3,4.45,2278,3250,70.1
C,CE,G4,3.86,5137,6331,81.1
C,CE,G5,3.6,4891,5432,90.0
C,CE,G6,3.33,6980,7328,95.3
C,Other,G3,4.18,33,47,70.2
C,Other,G4,3.39,82,95,86.3
C,Other,G5,3.15,61,69,88.4
C,Other,G6,3.32,116,125,92.8
C,RE,G3,4.21,4200,6872,61.1
C,RE,G4,3.91,10759,14377,74.8
C,RE,G5,3.74,11984,13662,87.7
C,RE,G6,3.49,12440,13109,94.9
C,TLE,G3,3.58,5281,9081,58.2
C,TLE,G4,3.45,16174,21301,75.9
C,TLE,G5,3.37,15637,17934,87.2
C,TLE,G6,3.34,11885,12671,93.8
C,WA,G3,3.74,18094,28359,63.8
C,WA,G4,3.55,56811,72665,78.2
C,WA,G5,3.44,67816,76903,88.2
C,WA,G6,3.2,80829,85132,94.9
D,CE,G4,4.25,2011,2977,67.6
D,CE,G5,3.92,2436,3210,75.9
D,CE,G6,3.61,5583,6136,91.0
D,Other,G4,3.88,49,74,66.2
D,Other,G5,2.94,47,65,72.3
D,Other,G6,3.36,206,225,91.6
D,RE,G4,4.48,4958,9763,50.8
D,RE,G5,4.2,8587,12809,67.0
D,RE,G6,3.97,16457,18692,88.0
D,TLE,G4,4.19,9750,19639,49.6
D,TLE,G5,4.05,17481,25553,68.4
D,TLE,G6,3.78,23868,27267,87.5
D,WA,G4,3.72,19731,31703,62.2
D,WA,G5,3.64,33912,44737,75.8
D,WA,G6,3.49,77223,85477,90.3
E,CE,G5,4.5,609,934,65.2
E,CE,G6,3.8,2179,2592,84.1
E,Other,G5,2.86,7,10,70.0
E,Other,G6,3.91,46,50,92.0
E,RE,G5,4.83,2484,4291,57.9
E,RE,G6,4.36,8475,10254,82.7
E,TLE,G5,4.11,3427,6350,54.0
E,TLE,G6,4.17,10885,13369,81.4
E,WA,G5,3.94,8320,14059,59.2
E,WA,G6,3.89,37690,45454,82.9
F,CE,G6,4.22,1435,1824,78.7
F,Other,G6,3.5,26,30,86.7
F,RE,G6,4.27,5191,6563,79.1
F,TLE,G6,4.15,5222,6946,75.2
F,WA,G6,4.03,22007,28718,76.6
