difficulty,proficiency_group,first_error,sequence,sequence_length,resolved,n_pairs,proportion_pct
A,G1,CE,CE→AC,2,true,1471,31.65
A,G1,CE,CE→CE→AC,3,true,584,12.57
A,G1,CE,CE→WA→AC,3,true,324,6.97
A,G1,CE,CE→CE→CE→AC,4,true,238,5.12
A,G1,CE,CE,1,false,229,4.93
A,G1,CE,CE→WA→WA→AC,4,true,130,2.8
A,G1,CE,CE→CE→WA→AC,4,true,105,2.26
A,G1,CE,CE→CE→CE→CE→AC,5,true,96,2.07
A,G1,CE,CE→WA,2,false,82,1.76
A,G1,CE,CE→CE,2,false,82,1.76
A,G1,CE,CE→WA→WA→WA→AC,5,true,64,1.38
A,G1,CE,CE→CE→CE→CE→CE→AC,6,true,54,1.16
A,G1,CE,CE→CE→CE,3,false,52,1.12
A,G1,CE,CE→WA→CE→AC,4,true,45,0.97
A,G1,CE,CE→CE→CE→WA→AC,5,true,39,0.84
A,G1,CE,CE→CE→WA→WA→AC,5,true,36,0.77
A,G1,CE,CE→CE→CE→CE→CE→CE→AC,7,true,36,0.77
A,G1,CE,CE→WA→WA,3,false,31,0.67
A,G1,CE,CE→CE→WA,3,false,28,0.6
A,G1,CE,CE→RE→AC,3,true,28,0.6
A,G1,CE,CE→WA→WA→WA→WA→AC,6,true,25,0.54
A,G1,CE,CE→CE→CE→CE,4,false,24,0.52
A,G1,CE,CE→CE→CE→CE→CE→CE→CE→AC,8,true,21,0.45
A,G1,CE,CE→WA→CE→WA→AC,5,true,20,0.43
A,G1,CE,CE→WA→WA→CE→AC,5,true,18,0.39
A,G1,CE,CE→WA→WA→WA,4,false,17,0.37
A,G1,CE,CE→CE→WA→WA→WA→AC,6,true,15,0.32
A,G1,CE,CE→CE→WA→CE→AC,5,true,13,0.28
A,G1,CE,CE→CE→CE→CE→WA→AC,6,true,12,0.26
A,G1,CE,CE→CE→CE→CE→WA→WA→AC,7,true,12,0.26
A,G1,CE,CE→CE→CE→CE→CE→CE→CE→CE→AC,9,true,12,0.26
A,G1,CE,CE→CE→CE→CE→CE→CE→CE→CE→CE→AC,10,true,11,0.24
A,G1,CE,CE→CE→CE→WA→WA→AC,6,true,11,0.24
A,G1,CE,CE→RE→RE→AC,4,true,11,0.24
