difficulty,proficiency_group,language,n_submissions,pct
A,G1,C++,37406,54.33
A,G1,Python,11989,17.41
A,G1,C,7974,11.58
A,G1,Java,4441,6.45
A,G1,C#,2819,4.09
A,G1,Other,2516,3.65
A,G1,Ruby,1193,1.73
A,G1,Go,425,0.62
A,G1,Rust,87,0.13
A,G2,C++,76492,47.74
A,G2,Python,40731,25.42
A,G2,C,17492,10.92
A,G2,Java,12624,7.88
A,G2,Other,5484,3.42
A,G2,Ruby,3599,2.25
A,G2,C#,2529,1.58
A,G2,Go,969,0.6
A,G2,Rust,317,0.2
A,G3,C++,135805,43.41
A,G3,Python,103139,32.96
A,G3,C,23812,7.61
A,G3,Java,20831,6.66
A,G3,Other,12989,4.15
A,G3,Ruby,7586,2.42
A,G3,C#,4677,1.49
A,G3,Go,2921,0.93
A,G3,Rust,1117,0.36
A,G4,C++,237835,47.66
A,G4,Python,159979,32.06
A,G4,Java,27571,5.52
A,G4,C,23786,4.77
A,G4,Other,20738,4.16
A,G4,Ruby,11882,2.38
A,G4,C#,9571,1.92
A,G4,Go,4550,0.91
A,G4,Rust,3154,0.63
A,G5,C++,211600,49.26
A,G5,Python,149513,34.81
A,G5,Java,17341,4.04
A,G5,Other,15215,3.54
A,G5,C,14031,3.27
A,G5,Ruby,8623,2.01
A,G5,C#,5668,1.32
A,G5,Rust,3979,0.93
A,G5,Go,3554,0.83
A,G6,C++,373518,60.86
A,G6,Python,128870,21.0
A,G6,Other,32980,5.37
A,G6,C,28471,4.64
A,G6,Java,20126,3.28
A,G6,Ruby,8983,1.46
A,G6,C#,8402,1.37
A,G6,Rust,8363,1.36
A,G6,Go,4059,0.66
B,G1,C++,4734,48.15
B,G1,C,1779,18.1
B,G1,Python,1617,16.45
B,G1,Java,754,7.67
B,G1,Other,529,5.38
B,G1,C#,179,1.82
B,G1,Ruby,135,1.37
B,G1,Go,72,0.73
B,G1,Rust,32,0.33
B,G2,C++,51205,47.43
B,G2,Python,23775,22.02
B,G2,C,14414,13.35
B,G2,Java,9092,8.42
B,G2,Other,3791,3.51
B,G2,Ruby,2803,2.6
B,G2,C#,1714,1.59
B,G2,Go,935,0.87
B,G2,Rust,241,0.22
B,G3,C++,139231,44.4
B,G3,Python,99154,31.62
B,G3,C,24766,7.9
B,G3,Java,20769,6.62
B,G3,Other,12128,3.87
B,G3,Ruby,8191,2.61
B,G3,C#,5034,1.61
B,G3,Go,3142,1.0
B,G3,Rust,1180,0.38
B,G4,C++,282973,49.24
B,G4,Python,182283,31.72
B,G4,Java,31102,5.41
B,G4,C,23851,4.15
B,G4,Other,20941,3.64
B,G4,Ruby,13020,2.27
B,G4,C#,11076,1.93
B,G4,Go,5755,1.0
B,G4,Rust,3659,0.64
B,G5,C++,257048,50.45
B,G5,Python,178179,34.97
B,G5,Java,19599,3.85
B,G5,Other,15364,3.02
B,G5,C,13875,2.72
B,G5,Ruby,9799,1.92
B,G5,C#,6530,1.28
B,G5,Rust,4696,0.92
B,G5,Go,4439,0.87
B,G6,C++,415622,63.44
B,G6,Python,141134,21.54
B,G6,Other,25490,3.89
B,G6,Java,21304,3.25
B,G6,C,19225,2.93
B,G6,Ruby,9524,1.45
B,G6,C#,9362,1.43
B,G6,Rust,8735,1.33
B,G6,Go,4744,0.72
