difficulty,language,n_submissions,pct
A,C++,1079945,51.4
A,Python,598045,28.46
A,C,117822,5.61
A,Java,104516,4.97
A,Other,90980,4.33
A,Ruby,42233,2.01
A,C#,34035,1.62
A,Rust,17074,0.81
A,Go,16613,0.79
B,C++,1153168,53.02
B,Python,626943,28.82
B,Java,102911,4.73
B,C,98375,4.52
B,Other,78429,3.61
B,Ruby,43549,2.0
B,C#,33970,1.56
B,Go,19118,0.88
B,Rust,18560,0.85
C,C++,1192950,53.3
C,Python,678835,30.33
C,Java,103058,4.6
C,Other,72129,3.22
C,C,66422,2.97
C,Ruby,41128,1.84
C,C#,40055,1.79
C,Rust,22294,1.0
C,Go,21335,0.95
D,C++,893558,57.0
D,Python,449608,28.68
D,Java,63090,4.02
D,Other,46418,2.96
D,C#,28170,1.8
D,C,27561,1.76
D,Ruby,25788,1.65
D,Rust,19680,1.26
D,Go,13663,0.87
E,C++,351132,64.27
E,Python,130523,23.89
E,Java,18560,3.4
E,Other,13161,2.41
E,Rust,8654,1.58
E,C#,8553,1.57
E,Ruby,6532,1.2
E,C,5478,1.0
E,Go,3725,0.68
F,C++,178139,71.3
F,Python,43029,17.22
F,Java,7602,3.04
F,Other,6439,2.58
F,Rust,4943,1.98
F,C#,4047,1.62
F,Ruby,2106,0.84
F,C,2066,0.83
F,Go,1467,0.59
