difficulty,first_error_type,n_pairs,avg_attempts_to_ac,resolution_rate,abandon_rate
A,CE,68182,2.87,92.23,7.77
A,Other,59,3.11,91.53,8.47
A,RE,41951,2.81,83.57,16.43
A,TLE,958,2.85,78.39,21.61
A,WA,151771,2.57,91.3,8.7
B,CE,39532,3.47,88.09,11.91
B,Other,137,2.79,91.24,8.76
B,RE,41563,3.24,87.31,12.69
B,TLE,14263,3.25,86.5,13.5
B,WA,230746,2.96,89.52,10.48
C,CE,23204,3.67,83.21,16.79
C,Other,346,3.4,84.39,15.61
C,RE,49439,3.76,79.69,20.31
C,TLE,62423,3.41,78.47,21.53
C,WA,268032,3.41,83.43,16.57
D,CE,13109,3.81,76.64,23.36
D,Other,380,3.38,79.47,20.53
D,RE,43629,4.12,68.8,31.2
D,TLE,77471,3.95,65.98,34.02
D,WA,167711,3.56,78.05,21.95
E,CE,3948,3.95,70.74,29.26
E,Other,64,3.77,82.81,17.19
E,RE,16027,4.46,68.38,31.62
E,TLE,22396,4.15,63.91,36.09
E,WA,63631,3.9,72.33,27.67
F,CE,2121,4.22,67.8,32.2
F,Other,34,3.5,76.47,23.53
F,RE,7437,4.27,69.88,30.12
F,TLE,8263,4.15,63.21,36.79
F,WA,32059,4.03,68.68,31.32
