difficulty,proficiency_group,chain_position,chain_length,delta_seconds,is_intra_session,chain_final_outcome,chain_total_time
D,G4,1,2,178,true,AC,178
F,G6,1,3,277,true,RE,1266
F,G6,2,3,989,true,RE,1266
E,G6,1,2,148,true,AC,148
F,G5,1,4,343,true,Abandon,807
F,G5,2,4,56,true,Abandon,807
F,G5,3,4,408,true,Abandon,807
D,G5,1,5,1875,true,RE,3166799
D,G5,2,5,393,true,RE,3166799
D,G5,3,5,3161802,false,RE,3166799
D,G5,4,5,2729,true,RE,3166799
D,G5,1,4,468,true,AC,4434
D,G5,2,4,622,true,AC,4434
D,G5,3,4,3344,true,AC,4434
D,G5,1,2,211,true,WA,211
B,G6,1,2,363,true,WA,363
F,G6,1,6,80,true,AC,1684
F,G6,2,6,196,true,AC,1684
F,G6,3,6,431,true,AC,1684
F,G6,4,6,340,true,AC,1684
F,G6,5,6,637,true,AC,1684
B,G6,1,3,167,true,RE,85370
B,G6,2,3,85203,false,RE,85370
C,G1,1,2,157,true,Abandon,157
D,G3,1,3,261,true,WA,421
D,G3,2,3,160,true,WA,421
D,G5,1,2,458,true,AC,458
D,G5,1,3,508,true,Abandon,1260
D,G5,2,3,752,true,Abandon,1260
D,G6,1,2,1252,true,WA,1252
D,G6,1,3,9653,true,WA,10139
D,G6,2,3,486,true,WA,10139
D,G6,1,2,357,true,WA,357
B,G4,1,2,151,true,AC,151
C,G3,1,3,192,true,AC,280
C,G3,2,3,88,true,AC,280
C,G3,1,2,1577,true,AC,1577
D,G4,1,2,332,true,Abandon,332
C,G4,1,2,1271,true,AC,1271
C,G4,1,6,266,true,AC,2308
C,G4,2,6,424,true,AC,2308
C,G4,3,6,282,true,AC,2308
C,G4,4,6,363,true,AC,2308
C,G4,5,6,973,true,AC,2308
D,G4,1,2,1697,true,Abandon,1697
D,G6,1,2,595,true,AC,595
D,G6,1,2,188,true,CE,188
D,G6,1,2,405,true,WA,405
C,G6,1,2,170,true,AC,170
D,G5,1,3,499,true,Abandon,3042
D,G5,2,3,2543,true,Abandon,3042
D,G5,1,4,193,true,AC,830
D,G5,2,4,580,true,AC,830
D,G5,3,4,57,true,AC,830
D,G5,1,2,69,true,CE,69
D,G5,1,2,692,true,AC,692
D,G5,1,2,66,true,WA,66
C,G5,1,3,1364,true,AC,1695
C,G5,2,3,331,true,AC,1695
C,G5,1,2,345,true,WA,345
D,G5,1,3,412,true,AC,646
D,G5,2,3,234,true,AC,646
C,G5,1,2,54,true,WA,54
D,G5,1,2,160,true,AC,160
D,G5,1,2,516,true,AC,516
C,G2,1,2,269,true,RE,269
D,G4,1,2,483,true,Abandon,483
C,G4,1,2,2037,true,WA,2037
