difficulty,proficiency_group,submission_rank,delta_seconds,next_status
D,G3,1,,Abandon
D,G4,1,174,WA
D,G4,3,178,TLE
D,G4,4,12858,AC
E,G2,1,1695,WA
F,G6,1,961,Other
F,G6,3,277,TLE
F,G6,4,989,TLE
F,G6,5,354,RE
F,G6,9,43618,AC
E,G6,7,338,WA
E,G6,2,1043,AC
E,G6,2,3849,WA
E,G6,1,148,TLE
E,G6,2,275,AC
D,G6,1,223,WA
D,G6,1,907,AC
B,G3,1,712,AC
D,G3,1,710,WA
C,G5,1,486,RE
F,G5,2,343,TLE
F,G5,3,56,TLE
F,G5,4,408,TLE
F,G5,5,,Abandon
D,G5,1,185,WA
D,G5,6,2018,AC
D,G5,8,,Abandon
D,G5,4,1875,TLE
D,G5,5,393,TLE
D,G5,6,3161802,TLE
D,G5,7,2729,TLE
D,G5,8,107519,RE
D,G5,2,468,TLE
D,G5,3,622,TLE
D,G5,4,3344,TLE
D,G5,5,3864,AC
B,G5,3,85,WA
D,G5,1,211,TLE
D,G5,2,12280,WA
B,G3,3,85,AC
B,G3,1,119,AC
E,G5,1,238,AC
D,G6,1,1007,AC
B,G6,8,363,TLE
B,G6,9,948,WA
F,G6,1,80,TLE
F,G6,2,196,TLE
F,G6,3,431,TLE
F,G6,4,340,TLE
F,G6,5,637,TLE
F,G6,6,509,AC
B,G6,2,167,TLE
B,G6,3,85203,TLE
B,G6,4,882,RE
C,G6,1,170,AC
C,G1,2,157,TLE
C,G1,3,,Abandon
D,G3,2,261,TLE
D,G3,3,160,TLE
D,G3,4,692,WA
B,G3,3,1799,AC
C,G3,1,2171,AC
C,G3,2,236568,AC
D,G5,3,852,WA
D,G5,5,121,AC
D,G5,1,,Abandon
B,G5,1,897,AC
D,G5,1,458,TLE
D,G5,2,7275,AC
D,G5,4,48,AC
E,G5,1,339730,AC
D,G5,1,50125,AC
C,G5,2,17009,WA
C,G5,1,795,AC
D,G5,2,256,RE
D,G5,1,508,TLE
D,G5,2,752,TLE
D,G5,3,,Abandon
E,G5,2,,Abandon
D,G6,1,1252,TLE
D,G6,2,2356,WA
D,G6,4,468,AC
D,G6,1,10340,WA
D,G6,1,30341,AC
C,G6,1,23167,AC
D,G6,1,17213,RE
D,G6,1,9653,TLE
D,G6,2,486,TLE
D,G6,3,1857,WA
C,G6,1,13602,RE
D,G6,1,357,TLE
D,G6,2,547,WA
D,G6,4,89774,AC
D,G6,1,109994,WA
B,G6,1,784,AC
C,G6,1,35386,AC
C,G4,1,450,AC
B,G4,3,151,TLE
B,G4,4,155,AC
C,G3,4,192,TLE
C,G3,5,88,TLE
C,G3,6,2713,AC
C,G3,4,1577,TLE
C,G3,5,1016,AC
D,G4,1,332,TLE
D,G4,2,,Abandon
E,G4,2,,Abandon
C,G4,4,1271,TLE
C,G4,5,3193,AC
C,G4,2,266,TLE
C,G4,3,424,TLE
C,G4,4,282,TLE
C,G4,5,363,TLE
C,G4,6,973,TLE
C,G4,7,68492,AC
D,G4,1,77533,WA
D,G4,1,1697,TLE
D,G4,2,,Abandon
D,G6,1,595,TLE
D,G6,2,199,AC
D,G6,1,625,AC
D,G6,1,188,TLE
D,G6,2,338,CE
D,G6,5,405,TLE
D,G6,6,454,WA
D,G6,1,885,AC
D,G6,4,1399,WA
D,G6,7,,Abandon
C,G6,2,2047,RE
C,G6,6,19465567,AC
C,G6,1,435,WA
B,G6,1,402,AC
C,G6,2,170,TLE
C,G6,3,168,AC
D,G6,3,235,AC
C,G5,1,2640,AC
D,G5,3,499,TLE
D,G5,4,2543,TLE
D,G5,5,,Abandon
D,G5,6,823,WA
D,G5,12,222605,WA
D,G5,22,325,AC
D,G5,3,193,TLE
D,G5,4,580,TLE
D,G5,5,57,TLE
D,G5,6,631,AC
E,G5,1,1471,AC
C,G5,1,3595487,RE
