user_id,unique_problems_attempted,unique_problems_solved,total_raw_submissions,problem_win_rate,submissions_per_problem,max_difficulty_solved,proficiency_group
u294642518,20,20,27,1.0,1.35,D,G4
u477648767,34,32,71,0.9411764705882353,2.088235294117647,C,G3
u473039272,3,3,3,1.0,1.0,B,G2
u459801769,10,10,34,1.0,3.4,D,G4
u132313362,19,14,54,0.7368421052631579,2.8421052631578947,C,G3
u022551618,14,7,32,0.5,2.2857142857142856,C,G3
u435733970,44,43,61,0.9772727272727273,1.3863636363636365,F,G6
u574470912,5,4,8,0.8,1.6,D,G4
u809523460,5,5,9,1.0,1.8,C,G3
u204158532,11,10,19,0.9090909090909091,1.7272727272727273,F,G6
u691399849,3,3,13,1.0,4.333333333333333,C,G3
u747870656,16,15,33,0.9375,2.0625,C,G3
u570678014,4,3,12,0.75,3.0,B,G2
u530159178,14,14,22,1.0,1.5714285714285714,B,G2
u855138664,123,118,220,0.959349593495935,1.7886178861788617,F,G6
u784612287,18,17,54,0.9444444444444444,3.0,F,G6
u183757181,5,5,5,1.0,1.0,D,G4
u392361133,137,126,250,0.9197080291970803,1.8248175182481752,C,G3
u841512730,1,0,10,0.0,10.0,,
u368326565,10,4,15,0.4,1.5,D,G4
u501486979,18,14,44,0.7777777777777778,2.4444444444444446,C,G3
u881867376,6,6,6,1.0,1.0,C,G3
u437253395,2,2,4,1.0,2.0,C,G3
u837229031,3,3,3,1.0,1.0,B,G2
u892305365,205,195,393,0.9512195121951219,1.9170731707317072,F,G6
u489137472,11,10,19,0.9090909090909091,1.7272727272727273,D,G4
u286012404,3,2,6,0.6666666666666666,2.0,A,G1
u374892957,38,34,81,0.8947368421052632,2.1315789473684212,D,G4
u705998889,3,3,4,1.0,1.3333333333333333,A,G1
u437990671,55,55,83,1.0,1.509090909090909,F,G6
u740904749,4,3,12,0.75,3.0,C,G3
u124077807,14,10,26,0.7142857142857143,1.8571428571428572,B,G2
u406059948,6,5,11,0.8333333333333334,1.8333333333333333,B,G2
u669613475,3,3,5,1.0,1.6666666666666667,C,G3
u760353979,2,2,3,1.0,1.5,B,G2
u076830785,18,17,35,0.9444444444444444,1.9444444444444444,D,G4
u706908631,19,16,32,0.8421052631578947,1.6842105263157894,B,G2
u324090406,83,73,182,0.8795180722891566,2.1927710843373496,F,G6
u780370649,3,2,7,0.6666666666666666,2.3333333333333335,B,G2
u012713668,8,6,20,0.75,2.5,C,G3
u082366412,4,0,10,0.0,2.5,,
u864453204,250,250,382,1.0,1.528,D,G4
u404140292,16,13,29,0.8125,1.8125,D,G4
u632953276,44,42,81,0.9545454545454546,1.8409090909090908,C,G3
u637724693,8,7,13,0.875,1.625,C,G3
u265077879,86,82,135,0.9534883720930233,1.569767441860465,D,G4
